الفئة: جميع الفئات

الشهر,diet: (الأردن),gym: (الأردن),finance: (الأردن)
2004-01,0,0,26
2004-02,31,0,92
2004-03,27,0,0
2004-04,100,0,20
2004-05,16,0,16
2004-06,0,0,89
2004-07,42,0,0
2004-08,17,0,69
2004-09,0,0,55
2004-10,35,0,35
2004-11,0,0,34
2004-12,0,11,11
2005-01,17,0,16
2005-02,0,0,0
2005-03,23,0,11
2005-04,40,0,13
2005-05,22,11,0
2005-06,15,0,15
2005-07,26,0,0
2005-08,12,12,0
2005-09,0,0,12
2005-10,11,0,22
2005-11,0,0,32
2005-12,0,18,9
2006-01,23,0,22
2006-02,28,0,9
2006-03,32,0,24
2006-04,16,0,16
2006-05,14,0,7
2006-06,8,0,17
2006-07,0,0,27
2006-08,0,7,7
2006-09,7,0,15
2006-10,7,7,7
2006-11,22,0,28
2006-12,6,0,11
2007-01,0,5,11
2007-02,0,0,15
2007-03,13,0,4
2007-04,21,4,17
2007-05,7,4,28
2007-06,17,0,21
2007-07,7,7,18
2007-08,14,0,14
2007-09,7,4,7
2007-10,16,3,16
2007-11,12,3,9
2007-12,9,0,6
2008-01,10,0,6
2008-02,6,6,12
2008-03,8,5,16
2008-04,5,3,3
2008-05,3,0,13
2008-06,12,6,9
2008-07,3,0,11
2008-08,10,2,7
2008-09,8,3,13
2008-10,11,5,9
2008-11,3,10,8
2008-12,6,3,16
2009-01,11,0,11
2009-02,5,3,10
2009-03,2,0,10
2009-04,8,6,10
2009-05,8,2,2
2009-06,6,4,14
2009-07,7,0,7
2009-08,7,6,7
2009-09,4,4,12
2009-10,7,2,12
2009-11,9,4,5
2009-12,5,3,6
2010-01,5,0,6
2010-02,10,3,7
2010-03,0,2,6
2010-04,13,5,8
2010-05,6,0,6
2010-06,2,2,9
2010-07,8,6,9
2010-08,7,3,5
2010-09,3,9,3
2010-10,4,4,4
2010-11,3,3,3
2010-12,5,3,4
2011-01,5,2,7
2011-02,2,3,5
2011-03,9,2,7
2011-04,7,2,7
2011-05,8,2,3
2011-06,5,2,6
2011-07,8,5,4
2011-08,4,4,9
2011-09,4,5,10
2011-10,4,5,5
2011-11,4,3,7
2011-12,7,3,6
2012-01,5,3,4
2012-02,6,3,4
2012-03,7,7,6
2012-04,9,1,7
2012-05,5,8,5
2012-06,2,2,4
2012-07,7,3,5
2012-08,3,4,5
2012-09,5,4,3
2012-10,5,3,4
2012-11,5,5,4
2012-12,5,4,3
2013-01,5,4,3
2013-02,4,3,4
2013-03,6,4,4
2013-04,5,3,4
2013-05,5,5,3
2013-06,7,5,3
2013-07,4,3,4
2013-08,3,6,3
2013-09,5,7,5
2013-10,5,4,5
2013-11,3,4,5
2013-12,5,2,3
2014-01,4,5,4
2014-02,6,6,5
2014-03,8,5,5
2014-04,4,3,3
2014-05,5,3,4
2014-06,3,7,4
2014-07,3,5,4
2014-08,4,6,2
2014-09,4,5,4
2014-10,4,5,3
2014-11,5,4,3
2014-12,3,5,4
2015-01,4,4,2
2015-02,5,4,2
2015-03,5,4,3
2015-04,5,5,4
2015-05,5,6,2
2015-06,4,5,3
2015-07,3,7,4
2015-08,4,5,2
2015-09,3,5,3
2015-10,4,4,3
2015-11,2,4,2
2015-12,5,5,2
2016-01,4,4,3
2016-02,4,5,2
2016-03,4,5,3
2016-04,5,5,3
2016-05,3,4,2
2016-06,4,7,2
2016-07,3,8,2
2016-08,4,6,2
2016-09,5,6,4
2016-10,3,5,3
2016-11,3,5,4
2016-12,3,5,2
2017-01,4,6,3
2017-02,5,6,2
2017-03,4,6,3
2017-04,4,5,3
2017-05,5,7,3
2017-06,4,8,3
2017-07,4,10,3
2017-08,4,7,3
2017-09,4,7,2
2017-10,6,7,3
2017-11,4,6,3
2017-12,4,6,4
2018-01,5,8,4
2018-02,5,7,4
2018-03,6,8,3
2018-04,4,8,5
2018-05,5,6,4
2018-06,4,9,2
2018-07,5,10,4
2018-08,5,11,2
2018-09,4,8,4
2018-10,3,8,4
2018-11,5,7,4
2018-12,6,9,4
2019-01,6,7,4
2019-02,6,10,4
2019-03,6,9,4
2019-04,3,8,5
2019-05,5,8,3
2019-06,6,18,2
2019-07,5,14,5
2019-08,5,12,3
2019-09,9,12,4
2019-10,5,8,4
2019-11,7,6,5
2019-12,6,6,5
2020-01,8,9,5
2020-02,5,12,4
2020-03,4,7,4
2020-04,4,2,3
2020-05,5,4,4
2020-06,6,9,4
2020-07,8,13,4
2020-08,6,10,6
2020-09,5,7,5
2020-10,5,7,5
2020-11,3,3,4
2020-12,3,3,5
2021-01,5,5,4
2021-02,5,10,5
2021-03,4,5,4
2021-04,4,3,5
2021-05,3,5,4
2021-06,5,13,5
2021-07,4,13,4
